"Program","Year","State","Domain.Category","APPLICATIONS, MEASURED IN LB","APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","APPLICATIONS, MEASURED IN NUMBER, AVG","TREATED, MEASURED IN PCT OF AREA BEARING, AVG","Herbicide.ID","Acute Toxic","Corrosive","Environmental Hazard","Flammable","Health Hazard","Irritant","Additional.Info"
"SURVEY",1990,"MICHIGAN","TERBACIL = 12701","200","0.24","0.29","1.2","35",12701,0,0,1,0,0,1,"H302 (65.5%): Harmful if swallowed [Warning Acute toxicity, oral]

H400 (16.7%): Very toxic to aquatic life [Warning Hazardous to the aquatic environment, acute hazard]

H410 (16.7%): Very toxic to aquatic life with long lasting effects [Warning Hazardous to the aquatic environment, long-term hazard]

H412 (33.3%): Harmful to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1990,"MICHIGAN","TOTAL",NA,NA,NA,NA,"81",NA,NA,NA,NA,NA,NA,NA,NA
"SURVEY",1992,"CALIFORNIA","TOTAL",NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA
"SURVEY",1992,"FLORIDA","PARAQUAT = 61601","5,100","0.66","1.23","1.9","89",61601,1,1,1,0,1,0,"H290 (100%): May be corrosive to metals [Warning Corrosive to Metals]

H301+H311 (100%): Toxic if swallowed or in contact with skin [Danger Acute toxicity, oral; acute toxicity, dermal]

H301 (100%): Toxic if swallowed [Danger Acute toxicity, oral]

H311 (100%): Toxic in contact with skin [Danger Acute toxicity, dermal]

H315 (100%): Causes skin irritation [Warning Skin corrosion/irritation]

H319 (100%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]

H330 (100%): Fatal if inhaled [Danger Acute toxicity, inhalation]

H335 (100%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]

H372 (100%): Causes damage to organs through prolonged or repeated exposure [Danger Specific target organ toxicity, repeated exposure]

H400 (100%): Very toxic to aquatic life [Warning Hazardous to the aquatic environment, acute hazard]

H410 (100%): Very toxic to aquatic life with long lasting effects [Warning Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1992,"FLORIDA","TOTAL",NA,NA,NA,NA,"92",NA,NA,NA,NA,NA,NA,NA,NA
"SURVEY",1992,"MICHIGAN","2,4-D = 30001","600","0.96","0.96","1","26",30001,0,1,0,0,0,1,"H302: Harmful if swallowed [Warning Acute toxicity, oral]

H317: May cause an allergic skin reaction [Warning Sensitization, Skin]

H318: Causes serious eye damage [Danger Serious eye damage/eye irritation]

H335: May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]

H412: Harmful to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1992,"MICHIGAN","DCPA = 78701","2,000","4.66","7.35","1.6","12",78701,1,0,1,1,1,1,"Not Classified

Reported as not meeting GHS hazard criteria by 455 of 468 companies (only 2.8% companies provided GHS information). For more detailed information, please visit ECHA C&L website."
"SURVEY",1992,"MICHIGAN","NAPROPAMIDE = 103001","2,800","2.55","2.66","1","46",103001,0,0,1,0,0,1,"H319 (83.3%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]

H411 (83.3%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1992,"MICHIGAN","SETHOXYDIM = 121001","100","0.37","0.37","1","16",121001,0,0,1,0,0,0,"H411 (25%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1992,"MICHIGAN","TERBACIL = 12701","200","0.26","0.33","1.3","25",12701,0,0,1,0,0,1,"H302 (65.5%): Harmful if swallowed [Warning Acute toxicity, oral]

H400 (16.7%): Very toxic to aquatic life [Warning Hazardous to the aquatic environment, acute hazard]

H410 (16.7%): Very toxic to aquatic life with long lasting effects [Warning Hazardous to the aquatic environment, long-term hazard]

H412 (33.3%): Harmful to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1992,"MICHIGAN","TOTAL",NA,NA,NA,NA,"90",NA,NA,NA,NA,NA,NA,NA,NA
"SURVEY",1992,"NEW JERSEY","DCPA = 78701","2,200","8.6","17.17","2","26",78701,1,0,1,1,1,1,"Not Classified

Reported as not meeting GHS hazard criteria by 455 of 468 companies (only 2.8% companies provided GHS information). For more detailed information, please visit ECHA C&L website."
"SURVEY",1992,"NEW JERSEY","NAPROPAMIDE = 103001","500","2.5","2.82","1.1","33",103001,0,0,1,0,0,1,"H319 (83.3%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]

H411 (83.3%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1992,"NEW JERSEY","SETHOXYDIM = 121001",NA,"0.33","0.35","1.1","11",121001,0,0,1,0,0,0,"H411 (25%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1992,"NEW JERSEY","TOTAL",NA,NA,NA,NA,"59",NA,NA,NA,NA,NA,NA,NA,NA
"SURVEY",1992,"NEW YORK","2,4-D = 30001","1,000","0.95","0.95","1","28",30001,0,1,0,0,0,1,"H302: Harmful if swallowed [Warning Acute toxicity, oral]

H317: May cause an allergic skin reaction [Warning Sensitization, Skin]

H318: Causes serious eye damage [Danger Serious eye damage/eye irritation]

H335: May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]

H412: Harmful to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1992,"NEW YORK","NAPROPAMIDE = 103001","5,600","3.16","3.44","1.1","42",103001,0,0,1,0,0,1,"H319 (83.3%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]

H411 (83.3%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1992,"NEW YORK","TERBACIL = 12701","1,100","0.52","0.64","1.2","44",12701,0,0,1,0,0,1,"H302 (65.5%): Harmful if swallowed [Warning Acute toxicity, oral]

H400 (16.7%): Very toxic to aquatic life [Warning Hazardous to the aquatic environment, acute hazard]

H410 (16.7%): Very toxic to aquatic life with long lasting effects [Warning Hazardous to the aquatic environment, long-term hazard]

H412 (33.3%): Harmful to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1992,"NEW YORK","TOTAL",NA,NA,NA,NA,"77",NA,NA,NA,NA,NA,NA,NA,NA
"SURVEY",1992,"NORTH CAROLINA","2,4-D = 30001","500","0.76","0.85","1.1","26",30001,0,1,0,0,0,1,"H302: Harmful if swallowed [Warning Acute toxicity, oral]

H317: May cause an allergic skin reaction [Warning Sensitization, Skin]

H318: Causes serious eye damage [Danger Serious eye damage/eye irritation]

H335: May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]

H412: Harmful to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1992,"NORTH CAROLINA","NAPROPAMIDE = 103001","2,400","2.68","3.45","1.3","29",103001,0,0,1,0,0,1,"H319 (83.3%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]

H411 (83.3%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1992,"NORTH CAROLINA","SETHOXYDIM = 121001","200","0.26","0.31","1.6","27",121001,0,0,1,0,0,0,"H411 (25%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1992,"NORTH CAROLINA","TOTAL",NA,NA,NA,NA,"56",NA,NA,NA,NA,NA,NA,NA,NA
"SURVEY",1992,"OREGON","NAPROPAMIDE = 103001","9,700","2.97","2.99","1","52",103001,0,0,1,0,0,1,"H319 (83.3%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]

H411 (83.3%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1992,"OREGON","SIMAZINE = 80807","2,500","0.93","1.02","1.1","40",80807,0,0,1,0,1,0,"H351: Suspected of causing cancer [Warning Carcinogenicity]

H400: Very toxic to aquatic life [Warning Hazardous to the aquatic environment, acute hazard]

H410: Very toxic to aquatic life with long lasting effects [Warning Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1992,"OREGON","TOTAL",NA,NA,NA,NA,"60",NA,NA,NA,NA,NA,NA,NA,NA
"SURVEY",1992,"WASHINGTON","NAPROPAMIDE = 103001","2,500","2.55","3.46","1.4","44",103001,0,0,1,0,0,1,"H319 (83.3%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]

H411 (83.3%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1992,"WASHINGTON","SIMAZINE = 80807","400","1.01","1.01","1","22",80807,0,0,1,0,1,0,"H351: Suspected of causing cancer [Warning Carcinogenicity]

H400: Very toxic to aquatic life [Warning Hazardous to the aquatic environment, acute hazard]

H410: Very toxic to aquatic life with long lasting effects [Warning Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1992,"WASHINGTON","TOTAL",NA,NA,NA,NA,"71",NA,NA,NA,NA,NA,NA,NA,NA
"SURVEY",1992,"WISCONSIN","2,4-D = 30001","400","1.08","1.11","1","29",30001,0,1,0,0,0,1,"H302: Harmful if swallowed [Warning Acute toxicity, oral]

H317: May cause an allergic skin reaction [Warning Sensitization, Skin]

H318: Causes serious eye damage [Danger Serious eye damage/eye irritation]

H335: May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]

H412: Harmful to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1992,"WISCONSIN","NAPROPAMIDE = 103001","1,800","3.5","3.74","1.1","36",103001,0,0,1,0,0,1,"H319 (83.3%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]

H411 (83.3%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1992,"WISCONSIN","SETHOXYDIM = 121001",NA,"0.3","0.3","1","12",121001,0,0,1,0,0,0,"H411 (25%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1992,"WISCONSIN","TERBACIL = 12701","100","0.25","0.28","1.1","38",12701,0,0,1,0,0,1,"H302 (65.5%): Harmful if swallowed [Warning Acute toxicity, oral]

H400 (16.7%): Very toxic to aquatic life [Warning Hazardous to the aquatic environment, acute hazard]

H410 (16.7%): Very toxic to aquatic life with long lasting effects [Warning Hazardous to the aquatic environment, long-term hazard]

H412 (33.3%): Harmful to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1992,"WISCONSIN","TOTAL",NA,NA,NA,NA,"62",NA,NA,NA,NA,NA,NA,NA,NA
"SURVEY",1994,"CALIFORNIA","NAPROPAMIDE = 103001","3,300","3.39","4.52","1.3","3",103001,0,0,1,0,0,1,"H319 (83.3%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]

H411 (83.3%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1994,"CALIFORNIA","PARAQUAT = 61601","200","0.42","0.42","1","3",61601,1,1,1,0,1,0,"H290 (100%): May be corrosive to metals [Warning Corrosive to Metals]

H301+H311 (100%): Toxic if swallowed or in contact with skin [Danger Acute toxicity, oral; acute toxicity, dermal]

H301 (100%): Toxic if swallowed [Danger Acute toxicity, oral]

H311 (100%): Toxic in contact with skin [Danger Acute toxicity, dermal]

H315 (100%): Causes skin irritation [Warning Skin corrosion/irritation]

H319 (100%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]

H330 (100%): Fatal if inhaled [Danger Acute toxicity, inhalation]

H335 (100%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]

H372 (100%): Causes damage to organs through prolonged or repeated exposure [Danger Specific target organ toxicity, repeated exposure]

H400 (100%): Very toxic to aquatic life [Warning Hazardous to the aquatic environment, acute hazard]

H410 (100%): Very toxic to aquatic life with long lasting effects [Warning Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1994,"CALIFORNIA","TOTAL","3,700",NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA
"SURVEY",1994,"FLORIDA","GLYPHOSATE = 417300","100","0.31","0.31","1","3",417300,0,1,1,0,0,0,"H318: Causes serious eye damage [Danger Serious eye damage/eye irritation]

H411: Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1994,"FLORIDA","NAPROPAMIDE = 103001","2,700","0.75","1.8","2.4","26",103001,0,0,1,0,0,1,"H319 (83.3%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]

H411 (83.3%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1994,"FLORIDA","PARAQUAT = 61601","2,200","0.23","0.44","1.9","87",61601,1,1,1,0,1,0,"H290 (100%): May be corrosive to metals [Warning Corrosive to Metals]

H301+H311 (100%): Toxic if swallowed or in contact with skin [Danger Acute toxicity, oral; acute toxicity, dermal]

H301 (100%): Toxic if swallowed [Danger Acute toxicity, oral]

H311 (100%): Toxic in contact with skin [Danger Acute toxicity, dermal]

H315 (100%): Causes skin irritation [Warning Skin corrosion/irritation]

H319 (100%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]

H330 (100%): Fatal if inhaled [Danger Acute toxicity, inhalation]

H335 (100%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]

H372 (100%): Causes damage to organs through prolonged or repeated exposure [Danger Specific target organ toxicity, repeated exposure]

H400 (100%): Very toxic to aquatic life [Warning Hazardous to the aquatic environment, acute hazard]

H410 (100%): Very toxic to aquatic life with long lasting effects [Warning Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1994,"FLORIDA","TOTAL","15,200",NA,NA,NA,"93",NA,NA,NA,NA,NA,NA,NA,NA
"SURVEY",1994,"MICHIGAN","2,4-D = 30001","400","0.99","1.02","1","19",30001,0,1,0,0,0,1,"H302: Harmful if swallowed [Warning Acute toxicity, oral]

H317: May cause an allergic skin reaction [Warning Sensitization, Skin]

H318: Causes serious eye damage [Danger Serious eye damage/eye irritation]

H335: May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]

H412: Harmful to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1994,"MICHIGAN","DCPA = 78701","1,200","7.02","7.02","1","8",78701,1,0,1,1,1,1,"Not Classified

Reported as not meeting GHS hazard criteria by 455 of 468 companies (only 2.8% companies provided GHS information). For more detailed information, please visit ECHA C&L website."
"SURVEY",1994,"MICHIGAN","NAPROPAMIDE = 103001","3,500","2.36","3.12","1.3","54",103001,0,0,1,0,0,1,"H319 (83.3%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]

H411 (83.3%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1994,"MICHIGAN","SETHOXYDIM = 121001","100","0.34","0.34","1","14",121001,0,0,1,0,0,0,"H411 (25%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1994,"MICHIGAN","TERBACIL = 12701","300","0.23","0.28","1.2","48",12701,0,0,1,0,0,1,"H302 (65.5%): Harmful if swallowed [Warning Acute toxicity, oral]

H400 (16.7%): Very toxic to aquatic life [Warning Hazardous to the aquatic environment, acute hazard]

H410 (16.7%): Very toxic to aquatic life with long lasting effects [Warning Hazardous to the aquatic environment, long-term hazard]

H412 (33.3%): Harmful to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1994,"MICHIGAN","TOTAL","5,700",NA,NA,NA,"86",NA,NA,NA,NA,NA,NA,NA,NA
"SURVEY",1994,"NEW JERSEY","2,4-D = 30001","100","1.19","1.19","1","12",30001,0,1,0,0,0,1,"H302: Harmful if swallowed [Warning Acute toxicity, oral]

H317: May cause an allergic skin reaction [Warning Sensitization, Skin]

H318: Causes serious eye damage [Danger Serious eye damage/eye irritation]

H335: May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]

H412: Harmful to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1994,"NEW JERSEY","NAPROPAMIDE = 103001","600","2.65","2.85","1.1","39",103001,0,0,1,0,0,1,"H319 (83.3%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]

H411 (83.3%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1994,"NEW JERSEY","TERBACIL = 12701",NA,"0.19","0.26","1.4","10",12701,0,0,1,0,0,1,"H302 (65.5%): Harmful if swallowed [Warning Acute toxicity, oral]

H400 (16.7%): Very toxic to aquatic life [Warning Hazardous to the aquatic environment, acute hazard]

H410 (16.7%): Very toxic to aquatic life with long lasting effects [Warning Hazardous to the aquatic environment, long-term hazard]

H412 (33.3%): Harmful to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1994,"NEW JERSEY","TOTAL","700",NA,NA,NA,"50",NA,NA,NA,NA,NA,NA,NA,NA
"SURVEY",1994,"NEW YORK","2,4-D = 30001","500","0.83","0.83","1","23",30001,0,1,0,0,0,1,"H302: Harmful if swallowed [Warning Acute toxicity, oral]

H317: May cause an allergic skin reaction [Warning Sensitization, Skin]

H318: Causes serious eye damage [Danger Serious eye damage/eye irritation]

H335: May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]

H412: Harmful to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1994,"NEW YORK","DCPA = 78701","500","6.33","6.33","1","3",78701,1,0,1,1,1,1,"Not Classified

Reported as not meeting GHS hazard criteria by 455 of 468 companies (only 2.8% companies provided GHS information). For more detailed information, please visit ECHA C&L website."
"SURVEY",1994,"NEW YORK","NAPROPAMIDE = 103001","2,800","2.9","3.09","1.1","34",103001,0,0,1,0,0,1,"H319 (83.3%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]

H411 (83.3%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1994,"NEW YORK","SETHOXYDIM = 121001","100","0.24","0.24","1","13",121001,0,0,1,0,0,0,"H411 (25%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1994,"NEW YORK","TERBACIL = 12701","400","0.41","0.44","1.1","32",12701,0,0,1,0,0,1,"H302 (65.5%): Harmful if swallowed [Warning Acute toxicity, oral]

H400 (16.7%): Very toxic to aquatic life [Warning Hazardous to the aquatic environment, acute hazard]

H410 (16.7%): Very toxic to aquatic life with long lasting effects [Warning Hazardous to the aquatic environment, long-term hazard]

H412 (33.3%): Harmful to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1994,"NEW YORK","TOTAL","4,200",NA,NA,NA,"53",NA,NA,NA,NA,NA,NA,NA,NA
"SURVEY",1994,"NORTH CAROLINA","2,4-D = 30001","600","0.74","1.03","1.4","24",30001,0,1,0,0,0,1,"H302: Harmful if swallowed [Warning Acute toxicity, oral]

H317: May cause an allergic skin reaction [Warning Sensitization, Skin]

H318: Causes serious eye damage [Danger Serious eye damage/eye irritation]

H335: May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]

H412: Harmful to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1994,"NORTH CAROLINA","DCPA = 78701","900","5.7","6.63","1.2","5",78701,1,0,1,1,1,1,"Not Classified

Reported as not meeting GHS hazard criteria by 455 of 468 companies (only 2.8% companies provided GHS information). For more detailed information, please visit ECHA C&L website."
"SURVEY",1994,"NORTH CAROLINA","NAPROPAMIDE = 103001","3,800","2.59","3.21","1.2","48",103001,0,0,1,0,0,1,"H319 (83.3%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]

H411 (83.3%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1994,"NORTH CAROLINA","PARAQUAT = 61601","400","0.41","0.47","1.1","31",61601,1,1,1,0,1,0,"H290 (100%): May be corrosive to metals [Warning Corrosive to Metals]

H301+H311 (100%): Toxic if swallowed or in contact with skin [Danger Acute toxicity, oral; acute toxicity, dermal]

H301 (100%): Toxic if swallowed [Danger Acute toxicity, oral]

H311 (100%): Toxic in contact with skin [Danger Acute toxicity, dermal]

H315 (100%): Causes skin irritation [Warning Skin corrosion/irritation]

H319 (100%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]

H330 (100%): Fatal if inhaled [Danger Acute toxicity, inhalation]

H335 (100%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]

H372 (100%): Causes damage to organs through prolonged or repeated exposure [Danger Specific target organ toxicity, repeated exposure]

H400 (100%): Very toxic to aquatic life [Warning Hazardous to the aquatic environment, acute hazard]

H410 (100%): Very toxic to aquatic life with long lasting effects [Warning Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1994,"NORTH CAROLINA","SETHOXYDIM = 121001","200","0.32","0.38","1.2","20",121001,0,0,1,0,0,0,"H411 (25%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1994,"NORTH CAROLINA","TERBACIL = 12701","100","0.39","0.58","1.5","7",12701,0,0,1,0,0,1,"H302 (65.5%): Harmful if swallowed [Warning Acute toxicity, oral]

H400 (16.7%): Very toxic to aquatic life [Warning Hazardous to the aquatic environment, acute hazard]

H410 (16.7%): Very toxic to aquatic life with long lasting effects [Warning Hazardous to the aquatic environment, long-term hazard]

H412 (33.3%): Harmful to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1994,"NORTH CAROLINA","TOTAL","6,000",NA,NA,NA,"71",NA,NA,NA,NA,NA,NA,NA,NA
"SURVEY",1994,"OREGON","NAPROPAMIDE = 103001","5,100","2.88","2.88","1","28",103001,0,0,1,0,0,1,"H319 (83.3%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]

H411 (83.3%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1994,"OREGON","PARAQUAT = 61601","1,000","0.49","0.49","1","32",61601,1,1,1,0,1,0,"H290 (100%): May be corrosive to metals [Warning Corrosive to Metals]

H301+H311 (100%): Toxic if swallowed or in contact with skin [Danger Acute toxicity, oral; acute toxicity, dermal]

H301 (100%): Toxic if swallowed [Danger Acute toxicity, oral]

H311 (100%): Toxic in contact with skin [Danger Acute toxicity, dermal]

H315 (100%): Causes skin irritation [Warning Skin corrosion/irritation]

H319 (100%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]

H330 (100%): Fatal if inhaled [Danger Acute toxicity, inhalation]

H335 (100%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]

H372 (100%): Causes damage to organs through prolonged or repeated exposure [Danger Specific target organ toxicity, repeated exposure]

H400 (100%): Very toxic to aquatic life [Warning Hazardous to the aquatic environment, acute hazard]

H410 (100%): Very toxic to aquatic life with long lasting effects [Warning Hazardous to the aquatic environment, long-term hazard]"
"SURVEY",1994,"OREGON","SETHOXYDIM = 121001","300","0.32","0.34","1","15",121001,0,0,1,0,0,0,"H411 (25%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]"
