"Program","Year","State","State.ANSI","Data.Item","Domain","Domain.Category","Value","CV...."
"CENSUS",2022,"CALIFORNIA",6,"ACRES BEARING","AREA GROWN","(100 OR MORE ACRES)","35,019","32.5"
"CENSUS",2022,"CALIFORNIA",6,"ACRES BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)"," (D)","(D)"
"CENSUS",2022,"CALIFORNIA",6,"ACRES BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)","1,699","31.0"
"CENSUS",2022,"CALIFORNIA",6,"ACRES BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)","370","31.6"
"CENSUS",2022,"CALIFORNIA",6,"ACRES BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)","8,154","68.4"
"CENSUS",2022,"CALIFORNIA",6,"ACRES BEARING","TOTAL","NOT SPECIFIED","46,093","21.8"
"CENSUS",2022,"CALIFORNIA",6,"ACRES GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)","46","45.6"
"CENSUS",2022,"CALIFORNIA",6,"ACRES GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)","165","91.9"
"CENSUS",2022,"CALIFORNIA",6,"ACRES GROWN","AREA GROWN","(100 OR MORE ACRES)","35,457","32.1"
"CENSUS",2022,"CALIFORNIA",6,"ACRES GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)","676","42.5"
"CENSUS",2022,"CALIFORNIA",6,"ACRES GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)","1,736","30.8"
"CENSUS",2022,"CALIFORNIA",6,"ACRES GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)","409","31.8"
"CENSUS",2022,"CALIFORNIA",6,"ACRES GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)","8,323","65.6"
"CENSUS",2022,"CALIFORNIA",6,"ACRES GROWN","TOTAL","NOT SPECIFIED","46,813","21.9"
"CENSUS",2022,"CALIFORNIA",6,"BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)"," (D)","(D)"
"CENSUS",2022,"CALIFORNIA",6,"BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","27","23.5"
"CENSUS",2022,"CALIFORNIA",6,"BEARING","AREA GROWN","(100 OR MORE ACRES)","438","6.4"
"CENSUS",2022,"CALIFORNIA",6,"BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)"," (D)","(D)"
"CENSUS",2022,"CALIFORNIA",6,"BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)","38","83.7"
"CENSUS",2022,"CALIFORNIA",6,"BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)","40","52.1"
"CENSUS",2022,"CALIFORNIA",6,"BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)","169","(H)"
"CENSUS",2022,"CALIFORNIA",6,"BEARING","TOTAL","NOT SPECIFIED","720","50.2"
"CENSUS",2022,"CALIFORNIA",6,"OPERATIONS WITH AREA BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)","189","39.6"
"CENSUS",2022,"CALIFORNIA",6,"OPERATIONS WITH AREA BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","74","98.6"
"CENSUS",2022,"CALIFORNIA",6,"OPERATIONS WITH AREA BEARING","AREA GROWN","(100 OR MORE ACRES)","114","34.3"
"CENSUS",2022,"CALIFORNIA",6,"OPERATIONS WITH AREA BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)","36","43.5"
"CENSUS",2022,"CALIFORNIA",6,"OPERATIONS WITH AREA BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)","47","27.1"
"CENSUS",2022,"CALIFORNIA",6,"OPERATIONS WITH AREA BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)","52","29.4"
"CENSUS",2022,"CALIFORNIA",6,"OPERATIONS WITH AREA BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)","114","63.8"
"CENSUS",2022,"CALIFORNIA",6,"OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","626","26.9"
"CENSUS",2022,"CALIFORNIA",6,"OPERATIONS WITH AREA GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)","212","42.6"
"CENSUS",2022,"CALIFORNIA",6,"OPERATIONS WITH AREA GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)","76","93.5"
"CENSUS",2022,"CALIFORNIA",6,"OPERATIONS WITH AREA GROWN","AREA GROWN","(100 OR MORE ACRES)","114","34.3"
"CENSUS",2022,"CALIFORNIA",6,"OPERATIONS WITH AREA GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)","36","43.5"
"CENSUS",2022,"CALIFORNIA",6,"OPERATIONS WITH AREA GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)","47","27.1"
"CENSUS",2022,"CALIFORNIA",6,"OPERATIONS WITH AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)","52","29.4"
"CENSUS",2022,"CALIFORNIA",6,"OPERATIONS WITH AREA GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)","114","63.8"
"CENSUS",2022,"CALIFORNIA",6,"OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","651","27.8"
"CENSUS",2022,"CALIFORNIA",6,"BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)","32","92.0"
"CENSUS",2022,"CALIFORNIA",6,"BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","22","39.5"
"CENSUS",2022,"CALIFORNIA",6,"BEARING","AREA GROWN","(100 OR MORE ACRES)","10","47.4"
"CENSUS",2022,"CALIFORNIA",6,"BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)","1","(H)"
"CENSUS",2022,"CALIFORNIA",6,"BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)","3","83.7"
"CENSUS",2022,"CALIFORNIA",6,"BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)","9","68.3"
"CENSUS",2022,"CALIFORNIA",6,"BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)","8","77.8"
"CENSUS",2022,"CALIFORNIA",6,"BEARING","TOTAL","NOT SPECIFIED","85","58.8"
"CENSUS",2022,"COLORADO",8,"ACRES BEARING","TOTAL","NOT SPECIFIED","10","73.5"
"CENSUS",2022,"COLORADO",8,"ACRES GROWN","TOTAL","NOT SPECIFIED","30","47.0"
"CENSUS",2022,"COLORADO",8,"BEARING","TOTAL","NOT SPECIFIED","20","59.7"
"CENSUS",2022,"COLORADO",8,"OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","39","18.2"
"CENSUS",2022,"COLORADO",8,"OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","64","18.8"
"CENSUS",2022,"COLORADO",8,"BEARING","TOTAL","NOT SPECIFIED","27","26.5"
"CENSUS",2022,"CONNECTICUT",9,"ACRES BEARING","TOTAL","NOT SPECIFIED","119","22.7"
"CENSUS",2022,"CONNECTICUT",9,"ACRES GROWN","TOTAL","NOT SPECIFIED","156","18.6"
"CENSUS",2022,"CONNECTICUT",9,"BEARING","TOTAL","NOT SPECIFIED","37","8.6"
"CENSUS",2022,"CONNECTICUT",9,"OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","97","17.2"
"CENSUS",2022,"CONNECTICUT",9,"OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","128","15.9"
"CENSUS",2022,"CONNECTICUT",9,"BEARING","TOTAL","NOT SPECIFIED","44","19.4"
"CENSUS",2022,"DELAWARE",10,"ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS",2022,"DELAWARE",10,"ACRES GROWN","TOTAL","NOT SPECIFIED","27","5.3"
"CENSUS",2022,"DELAWARE",10,"BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS",2022,"DELAWARE",10,"OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","14","46.0"
"CENSUS",2022,"DELAWARE",10,"OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","16","40.2"
"CENSUS",2022,"DELAWARE",10,"BEARING","TOTAL","NOT SPECIFIED","5","37.9"
"CENSUS",2022,"FLORIDA",12,"ACRES BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)","8","76.1"
"CENSUS",2022,"FLORIDA",12,"ACRES BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)"," (D)","(D)"
"CENSUS",2022,"FLORIDA",12,"ACRES BEARING","AREA GROWN","(100 OR MORE ACRES)"," (D)","(D)"
"CENSUS",2022,"FLORIDA",12,"ACRES BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)"," (D)","(D)"
"CENSUS",2022,"FLORIDA",12,"ACRES BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)","1,414","27.7"
"CENSUS",2022,"FLORIDA",12,"ACRES BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)","131","22.2"
"CENSUS",2022,"FLORIDA",12,"ACRES BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)","1,401","33.5"
"CENSUS",2022,"FLORIDA",12,"ACRES BEARING","TOTAL","NOT SPECIFIED","13,413","5.9"
"CENSUS",2022,"FLORIDA",12,"ACRES GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)","8","76.1"
"CENSUS",2022,"FLORIDA",12,"ACRES GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)","180","20.1"
"CENSUS",2022,"FLORIDA",12,"ACRES GROWN","AREA GROWN","(100 OR MORE ACRES)","9,938","(L)"
"CENSUS",2022,"FLORIDA",12,"ACRES GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)","469","59.9"
"CENSUS",2022,"FLORIDA",12,"ACRES GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)","1,459","25.0"
"CENSUS",2022,"FLORIDA",12,"ACRES GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)","131","22.2"
"CENSUS",2022,"FLORIDA",12,"ACRES GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)","1,478","32.4"
"CENSUS",2022,"FLORIDA",12,"ACRES GROWN","TOTAL","NOT SPECIFIED","13,663","5.5"
"CENSUS",2022,"FLORIDA",12,"BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)"," (D)","(D)"
"CENSUS",2022,"FLORIDA",12,"BEARING","AREA GROWN","(100 OR MORE ACRES)"," (D)","(D)"
"CENSUS",2022,"FLORIDA",12,"BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)"," (D)","(D)"
"CENSUS",2022,"FLORIDA",12,"BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)","45","(H)"
"CENSUS",2022,"FLORIDA",12,"BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)","76","13.4"
"CENSUS",2022,"FLORIDA",12,"BEARING","TOTAL","NOT SPECIFIED","249","23.3"
"CENSUS",2022,"FLORIDA",12,"OPERATIONS WITH AREA BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)","54","33.2"
"CENSUS",2022,"FLORIDA",12,"OPERATIONS WITH AREA BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","82","21.1"
"CENSUS",2022,"FLORIDA",12,"OPERATIONS WITH AREA BEARING","AREA GROWN","(100 OR MORE ACRES)","38","(L)"
"CENSUS",2022,"FLORIDA",12,"OPERATIONS WITH AREA BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)","22","59.0"
"CENSUS",2022,"FLORIDA",12,"OPERATIONS WITH AREA BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)","43","22.5"
"CENSUS",2022,"FLORIDA",12,"OPERATIONS WITH AREA BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)","19","18.7"
"CENSUS",2022,"FLORIDA",12,"OPERATIONS WITH AREA BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)","22","41.1"
"CENSUS",2022,"FLORIDA",12,"OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","280","12.6"
"CENSUS",2022,"FLORIDA",12,"OPERATIONS WITH AREA GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)","54","33.2"
"CENSUS",2022,"FLORIDA",12,"OPERATIONS WITH AREA GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)","82","21.1"
"CENSUS",2022,"FLORIDA",12,"OPERATIONS WITH AREA GROWN","AREA GROWN","(100 OR MORE ACRES)","38","(L)"
"CENSUS",2022,"FLORIDA",12,"OPERATIONS WITH AREA GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)","22","59.0"
"CENSUS",2022,"FLORIDA",12,"OPERATIONS WITH AREA GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)","43","22.5"
"CENSUS",2022,"FLORIDA",12,"OPERATIONS WITH AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)","19","18.7"
"CENSUS",2022,"FLORIDA",12,"OPERATIONS WITH AREA GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)","22","41.1"
"CENSUS",2022,"FLORIDA",12,"OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","280","12.6"
"CENSUS",2022,"FLORIDA",12,"BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","2","82.2"
"CENSUS",2022,"FLORIDA",12,"BEARING","AREA GROWN","(100 OR MORE ACRES)","4","(L)"
"CENSUS",2022,"FLORIDA",12,"BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)","3","(H)"
"CENSUS",2022,"FLORIDA",12,"BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)","3","(H)"
"CENSUS",2022,"FLORIDA",12,"BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)","5","68.4"
"CENSUS",2022,"FLORIDA",12,"BEARING","TOTAL","NOT SPECIFIED","17","31.6"
"CENSUS",2022,"GEORGIA",13,"ACRES BEARING","TOTAL","NOT SPECIFIED","249","13.0"
"CENSUS",2022,"GEORGIA",13,"ACRES GROWN","TOTAL","NOT SPECIFIED","269","12.7"
"CENSUS",2022,"GEORGIA",13,"BEARING","TOTAL","NOT SPECIFIED","21","31.0"
"CENSUS",2022,"GEORGIA",13,"OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","121","16.0"
"CENSUS",2022,"GEORGIA",13,"OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","150","18.6"
"CENSUS",2022,"GEORGIA",13,"BEARING","TOTAL","NOT SPECIFIED","41","31.0"
"CENSUS",2022,"HAWAII",15,"ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS",2022,"HAWAII",15,"ACRES GROWN","TOTAL","NOT SPECIFIED","10","2.9"
"CENSUS",2022,"HAWAII",15,"BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS",2022,"HAWAII",15,"OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","8","29.0"
"CENSUS",2022,"HAWAII",15,"OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","11","27.3"
"CENSUS",2022,"HAWAII",15,"BEARING","TOTAL","NOT SPECIFIED","4","33.5"
"CENSUS",2022,"IDAHO",16,"ACRES BEARING","TOTAL","NOT SPECIFIED","30","22.8"
"CENSUS",2022,"IDAHO",16,"ACRES GROWN","TOTAL","NOT SPECIFIED","32","22.5"
"CENSUS",2022,"IDAHO",16,"BEARING","TOTAL","NOT SPECIFIED","1","29.2"
"CENSUS",2022,"IDAHO",16,"OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","72","15.4"
"CENSUS",2022,"IDAHO",16,"OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","78","14.4"
"CENSUS",2022,"IDAHO",16,"BEARING","TOTAL","NOT SPECIFIED","10","34.2"
"CENSUS",2022,"ILLINOIS",17,"ACRES BEARING","TOTAL","NOT SPECIFIED","175","13.7"
"CENSUS",2022,"ILLINOIS",17,"ACRES GROWN","TOTAL","NOT SPECIFIED","208","11.7"
"CENSUS",2022,"ILLINOIS",17,"BEARING","TOTAL","NOT SPECIFIED","33","5.4"
"CENSUS",2022,"ILLINOIS",17,"OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","154","14.1"
"CENSUS",2022,"ILLINOIS",17,"OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","184","12.7"
"CENSUS",2022,"ILLINOIS",17,"BEARING","TOTAL","NOT SPECIFIED","52","15.4"
"CENSUS",2022,"INDIANA",18,"ACRES BEARING","TOTAL","NOT SPECIFIED","220","7.1"
"CENSUS",2022,"INDIANA",18,"ACRES GROWN","TOTAL","NOT SPECIFIED","262","7.3"
"CENSUS",2022,"INDIANA",18,"BEARING","TOTAL","NOT SPECIFIED","41","10.2"
"CENSUS",2022,"INDIANA",18,"OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","223","12.1"
"CENSUS",2022,"INDIANA",18,"OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","248","10.7"
"CENSUS",2022,"INDIANA",18,"BEARING","TOTAL","NOT SPECIFIED","47","17.7"
"CENSUS",2022,"IOWA",19,"ACRES BEARING","TOTAL","NOT SPECIFIED","144","16.8"
"CENSUS",2022,"IOWA",19,"ACRES GROWN","TOTAL","NOT SPECIFIED","169","18.2"
"CENSUS",2022,"IOWA",19,"BEARING","TOTAL","NOT SPECIFIED","25","33.8"
"CENSUS",2022,"IOWA",19,"OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","126","19.5"
"CENSUS",2022,"IOWA",19,"OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","145","18.8"
"CENSUS",2022,"IOWA",19,"BEARING","TOTAL","NOT SPECIFIED","36","24.0"
"CENSUS",2022,"KANSAS",20,"ACRES BEARING","TOTAL","NOT SPECIFIED","27","24.0"
"CENSUS",2022,"KANSAS",20,"ACRES GROWN","TOTAL","NOT SPECIFIED","32","21.8"
"CENSUS",2022,"KANSAS",20,"BEARING","TOTAL","NOT SPECIFIED","5","39.3"
"CENSUS",2022,"KANSAS",20,"OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","42","26.9"
"CENSUS",2022,"KANSAS",20,"OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","49","22.7"
"CENSUS",2022,"KANSAS",20,"BEARING","TOTAL","NOT SPECIFIED","9","21.1"
"CENSUS",2022,"KENTUCKY",21,"ACRES BEARING","TOTAL","NOT SPECIFIED","128","28.1"
"CENSUS",2022,"KENTUCKY",21,"ACRES GROWN","TOTAL","NOT SPECIFIED","152","28.0"
"CENSUS",2022,"KENTUCKY",21,"BEARING","TOTAL","NOT SPECIFIED","25","32.9"
"CENSUS",2022,"KENTUCKY",21,"OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","218","42.3"
"CENSUS",2022,"KENTUCKY",21,"OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","262","45.4"
"CENSUS",2022,"KENTUCKY",21,"BEARING","TOTAL","NOT SPECIFIED","85","42.7"
"CENSUS",2022,"LOUISIANA",22,"ACRES BEARING","TOTAL","NOT SPECIFIED","182","34.2"
"CENSUS",2022,"LOUISIANA",22,"ACRES GROWN","TOTAL","NOT SPECIFIED","182","34.2"
"CENSUS",2022,"LOUISIANA",22,"BEARING","TOTAL","NOT SPECIFIED"," (Z)","63.2"
"CENSUS",2022,"LOUISIANA",22,"OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","39","33.9"
"CENSUS",2022,"LOUISIANA",22,"OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","39","33.9"
"CENSUS",2022,"LOUISIANA",22,"BEARING","TOTAL","NOT SPECIFIED","3","63.2"
"CENSUS",2022,"MAINE",23,"ACRES BEARING","TOTAL","NOT SPECIFIED","293","35.3"
"CENSUS",2022,"MAINE",23,"ACRES GROWN","TOTAL","NOT SPECIFIED","371","31.3"
"CENSUS",2022,"MAINE",23,"BEARING","TOTAL","NOT SPECIFIED","78","18.9"
"CENSUS",2022,"MAINE",23,"OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","154","11.7"
"CENSUS",2022,"MAINE",23,"OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","193","12.5"
"CENSUS",2022,"MAINE",23,"BEARING","TOTAL","NOT SPECIFIED","94","14.2"
"CENSUS",2022,"MARYLAND",24,"ACRES BEARING","TOTAL","NOT SPECIFIED","135","4.8"
"CENSUS",2022,"MARYLAND",24,"ACRES GROWN","TOTAL","NOT SPECIFIED","150","4.1"
"CENSUS",2022,"MARYLAND",24,"BEARING","TOTAL","NOT SPECIFIED","15","27.3"
"CENSUS",2022,"MARYLAND",24,"OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","129","11.4"
"CENSUS",2022,"MARYLAND",24,"OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","142","11.3"
"CENSUS",2022,"MARYLAND",24,"BEARING","TOTAL","NOT SPECIFIED","26","19.6"
"CENSUS",2022,"MASSACHUSETTS",25,"ACRES BEARING","TOTAL","NOT SPECIFIED","258","11.3"
"CENSUS",2022,"MASSACHUSETTS",25,"ACRES GROWN","TOTAL","NOT SPECIFIED","303","13.5"
"CENSUS",2022,"MASSACHUSETTS",25,"BEARING","TOTAL","NOT SPECIFIED","45","29.6"
"CENSUS",2022,"MASSACHUSETTS",25,"OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","233","12.6"
"CENSUS",2022,"MASSACHUSETTS",25,"OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","249","9.6"
"CENSUS",2022,"MASSACHUSETTS",25,"BEARING","TOTAL","NOT SPECIFIED","70","20.0"
"CENSUS",2022,"MICHIGAN",26,"ACRES BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)"," (D)","(D)"
"CENSUS",2022,"MICHIGAN",26,"ACRES BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","164","10.4"
"CENSUS",2022,"MICHIGAN",26,"ACRES BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)"," (D)","(D)"
"CENSUS",2022,"MICHIGAN",26,"ACRES BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)","88","67.2"
"CENSUS",2022,"MICHIGAN",26,"ACRES BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)","324","12.5"
"CENSUS",2022,"MICHIGAN",26,"ACRES BEARING","TOTAL","NOT SPECIFIED","714","28.0"
"CENSUS",2022,"MICHIGAN",26,"ACRES GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)","59","10.1"
"CENSUS",2022,"MICHIGAN",26,"ACRES GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)","195","8.7"
"CENSUS",2022,"MICHIGAN",26,"ACRES GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)","92","(H)"
"CENSUS",2022,"MICHIGAN",26,"ACRES GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)","115","61.9"
"CENSUS",2022,"MICHIGAN",26,"ACRES GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)","415","11.6"
"CENSUS",2022,"MICHIGAN",26,"ACRES GROWN","TOTAL","NOT SPECIFIED","875","25.3"
"CENSUS",2022,"MICHIGAN",26,"BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)"," (D)","(D)"
"CENSUS",2022,"MICHIGAN",26,"BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","31","19.3"
"CENSUS",2022,"MICHIGAN",26,"BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)"," (D)","(D)"
"CENSUS",2022,"MICHIGAN",26,"BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)","27","44.4"
"CENSUS",2022,"MICHIGAN",26,"BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)","91","11.8"
"CENSUS",2022,"MICHIGAN",26,"BEARING","TOTAL","NOT SPECIFIED","162","15.7"
"CENSUS",2022,"MICHIGAN",26,"OPERATIONS WITH AREA BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)","266","12.0"
"CENSUS",2022,"MICHIGAN",26,"OPERATIONS WITH AREA BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","93","18.8"
"CENSUS",2022,"MICHIGAN",26,"OPERATIONS WITH AREA BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)","5","(H)"
"CENSUS",2022,"MICHIGAN",26,"OPERATIONS WITH AREA BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)","4","71.2"
"CENSUS",2022,"MICHIGAN",26,"OPERATIONS WITH AREA BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)","52","11.7"
"CENSUS",2022,"MICHIGAN",26,"OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","420","13.0"
